"V1","V2","V3","V4","V5","V6","V7","V8","V9"
1030500,1,45.501,-68.306,0.282046566808212,0.469117138344751,0.153901381146058,0.597262324006905,0.375581852576482
3159540,1,39.064,-81.882,-0.108666588924768,0.176751515925876,-0.21313210987535,0.281217036876459,0.0340424635005542
1552000,1,41.325,-76.912,0.0861366487498881,0.182837285139285,-0.0723147067420057,0.341288640631179,0.134486966944587
3182500,1,38.186,-80.131,0.158198174305003,0.248664732864339,-0.00241428982784411,0.409277196997186,0.203431453584671
1510000,1,42.541,-75.9,0.16451715585489,0.352225535920039,0.0358765964142735,0.480866095360656,0.258371345887465
2018000,1,37.666,-79.911,0.183676740104042,0.280646384145933,0.0253313805579412,0.438991743692034,0.232161562124988
2140991,1,35.834,-81.712,0.331217782529618,0.494383982569005,0.196404869129561,0.629196895969062,0.412800882549311
3504000,1,35.128,-83.619,0.656113026329384,0.844309327598874,0.537154955871582,0.963267398056675,0.750211176964129
2016000,1,37.792,-79.759,0.10353584220905,0.192871066715935,-0.0583705129867131,0.354777421911698,0.148203454462492
1543500,1,41.317,-78.103,0.0929340699907955,0.210229036910182,-0.0584489421545198,0.361612049055497,0.151581553450489
4043050,1,47.229,-88.385,0.0647232761122821,0.281176073781185,-0.0548454648829619,0.400744814776429,0.172949674946734
3473000,1,36.652,-81.844,0.241034517694774,0.372022569669101,0.0944538652440429,0.518603222119831,0.306528543681937
2149000,1,35.423,-82.112,0.369028215896443,0.49101195697855,0.219306014769831,0.640734158105162,0.430020086437497
1548500,1,41.522,-77.447,0.0939100455016824,0.192540649377272,-0.0645489279141735,0.350999622793128,0.143225347439477
3471500,1,36.76,-81.631,0.328159225550254,0.439839296922195,0.174971268783203,0.593027253689246,0.383999261236225
1439500,1,41.088,-75.038,0.233045323696213,0.428084850199679,0.106400402414891,0.554729771481002,0.330565086947946
2137727,1,35.686,-82.06,0.318019017284706,0.436140499190977,0.169706373678769,0.584453142796914,0.377079758237841
7056000,1,35.983,-92.748,0.00741479607035531,0.202996998286131,-0.118799866365623,0.329211660722109,0.105205897178243
3281500,1,37.48,-83.675,0.0286335569773973,0.166210844552569,-0.115430896459393,0.310275297989359,0.0974222007649833
2381600,1,34.57,-84.469,0.543449387186399,0.714449513808906,0.413302914551877,0.844595986443428,0.628949450497652
3026500,1,41.631,-78.577,0.141708930860387,0.266290746914203,-0.00723482771083964,0.415234505485429,0.203999838887295
7068000,1,36.622,-90.848,0.189104326606177,0.332428313135357,0.058190032030116,0.463342607711418,0.260766319870767
2014000,1,37.729,-80.042,0.149518293780101,0.259982318905645,-0.00436543402854311,0.413866046714289,0.204750306342873
4221000,1,42.122,-77.957,0.0583605601289528,0.1753620147603,-0.0931329548539035,0.326855529743156,0.116861287444626
1606500,1,38.991,-79.176,0.0529712725742238,0.162067034066346,-0.101461341988705,0.316499648629275,0.107519153320285
2111500,1,36.175,-81.169,0.501293636474854,0.676115086623139,0.369113436230663,0.808295286867331,0.588704361548997
1543000,1,41.413,-78.197,0.111238479116128,0.231682474454078,-0.038927940456698,0.381848894026904,0.171460476785103
1634500,1,39.081,-78.329,-0.0340861734235096,0.119232120124138,-0.17310765006886,0.258253596769488,0.042572973350314
1054200,1,44.39,-70.98,0.359757213466993,0.551979140080264,0.232472894256709,0.679263459290548,0.455868176773628
3069500,1,39.123,-79.681,0.145838883648066,0.245256998440636,-0.011893189890802,0.402989071979504,0.195547941044351
3049000,1,40.716,-79.699,0.00302827136345091,0.185804830262401,-0.127079938718806,0.315913040344657,0.0944165508129259
3070500,1,39.616,-79.705,0.036859144402617,0.188796453871604,-0.102836690371392,0.328492288645613,0.112827799137111
1055000,1,44.643,-70.589,0.267158401694823,0.423088464510213,0.128933046992697,0.561313819212339,0.345123433102518
3280700,1,37.165,-83.308,0.0138278751823072,0.134974728885296,-0.136321523985531,0.285124128053134,0.0744013020338018
1613050,1,39.898,-78.132,-0.0550399328620582,0.0934543745124067,-0.195849741095406,0.234264182745754,0.0192072208251743
2027000,1,37.715,-78.982,0.255857408607263,0.416347979948139,0.12128006522164,0.550925323333762,0.336102694277701
1423000,1,42.166,-75.14,0.205069812418313,0.333781614265507,0.0577805321372992,0.481070894546521,0.26942571334191
1518862,1,41.923,-77.532,0.0462415989899538,0.178306051983876,-0.0999326030327786,0.324480254006608,0.112273825486915
4216418,1,42.864,-78.284,-0.0725805708793757,0.14854773799134,-0.190496924628532,0.266464091740496,0.0379835835559819
1516500,1,41.791,-77.015,0.0149527200889377,0.16339915528679,-0.125619163209935,0.303971038585663,0.0891759376878641
3213700,1,37.673,-82.28,-0.014558685580879,0.160395675167761,-0.146119333050413,0.291956322637295,0.072918494793441
3010655,1,41.962,-78.198,0.0994728869738256,0.231282649693583,-0.046938071000495,0.377693607667904,0.165377768333704
1078000,1,43.566,-71.748,0.258986464873294,0.457375727623235,0.133405937537824,0.582956254958706,0.358181096248265
3187500,1,38.295,-80.526,0.123607555830837,0.270398557592156,-0.017484715624617,0.41149082904761,0.197003056711497
