"V1","V2","V3","V4","V5","V6","V7","V8","V9"
1030500,1,45.501,-68.306,5.76563251896345,7.00101718310372,4.91476165318361,7.85188804888357,6.38332485103359
1031500,1,45.175,-69.315,5.88624512433443,6.73990411018047,4.91334917264357,7.71280006187133,6.31307461725745
1047000,1,44.869,-69.955,6.2462517422695,7.1428076184935,5.28812602067189,8.1009333400911,6.6945296803815
1054200,1,44.39,-70.98,7.80125242735023,9.1666062109307,7.00897618087644,9.95888245740449,8.48392931914046
1055000,1,44.643,-70.589,5.96951550848885,6.93609725110606,5.04107698744388,7.86453577215103,6.45280637979746
1078000,1,43.566,-71.748,4.88591568111721,5.76390566269208,3.92259051296289,6.7272308308464,5.32491067190464
1144000,1,43.714,-72.418,5.29597520715797,6.14273903464759,4.33891736797568,7.09979687382987,5.71935712090278
1169000,1,42.638,-72.725,6.13942823182197,6.86634308567747,5.12466845327059,7.88110286422886,6.50288565874972
1181000,1,42.237,-72.896,6.3549091104927,7.21124681836302,5.38578208557776,8.18037384327797,6.78307796442786
1187300,1,42.037,-72.939,5.51705558887205,6.5356546264088,4.60414380998935,7.4485664052915,6.02635510764043
1333000,1,42.709,-73.197,4.10987712984579,7.44091151282783,3.6426423221557,7.90814632051792,5.77539432133681
1350000,1,42.32,-74.437,5.93318752944128,6.96407171518766,5.02011482256954,7.8771444220594,6.44862962231447
1415000,1,42.12,-74.818,5.64661375829566,6.54515959539951,4.6923251129739,7.49944824072127,6.09588667684758
1423000,1,42.166,-75.14,5.20649505947207,6.0393981287333,4.22763787100668,7.0182553171987,5.62294659410269
1439500,1,41.088,-75.038,5.29504272705167,6.44209134342693,4.41788354953748,7.31925052094113,5.8685670352393
1510000,1,42.541,-75.9,4.15384621661033,5.2512142250046,3.27676678064078,6.12829366097415,4.70253022080746
1516500,1,41.791,-77.015,2.92427329127049,3.91044667796238,1.99577850412255,4.83894146511032,3.41735998461643
1518862,1,41.923,-77.532,3.4832474957008,4.2362520539913,2.47446111775922,5.24503843193289,3.85974977484605
1532000,1,41.707,-76.485,3.89424501357555,4.60686531472391,2.87541226270358,5.62569806559589,4.25055516414973
1539000,1,41.078,-76.431,4.36227858509091,5.31962318552186,3.42422411990941,6.25767765070335,4.84095088530638
1542810,1,41.579,-78.293,5.15658317724092,5.92919683905317,4.15460044653861,6.93117956975548,5.54289000814705
1543000,1,41.413,-78.197,5.28613710464792,5.99579782027057,4.26166580989166,7.02026911502682,5.64096746245924
1543500,1,41.317,-78.103,5.07140908033558,5.74058923865929,4.03120099102834,6.78079732796652,5.40599915949743
1547700,1,41.06,-77.606,3.88036642977339,4.70086278006635,2.89546523227465,5.68576397756508,4.29061460491987
1548500,1,41.522,-77.447,4.05932887576187,4.58398954590819,2.96364886293759,5.67966955873247,4.32165921083503
1549500,1,41.474,-77.231,3.46907942894808,4.16544435126599,2.43990526599946,5.19461851421462,3.81726189010704
1550000,1,41.418,-77.033,3.76297604949405,4.33201286024594,2.68419343162716,5.41079547811283,4.04749445486999
1552000,1,41.325,-76.912,4.83761218300107,5.37763313577364,3.75032285402192,6.4649224647528,5.10762265938736
1567500,1,40.371,-77.402,4.40618793194584,5.13118538437033,3.39286589310561,6.14450742321056,4.76868665815809
1568000,1,40.323,-77.169,4.17743756701723,4.89138307990416,3.15585081591077,5.91296983101063,4.5344103234607
1594950,1,39.277,-79.39,5.48133777324498,6.4876774459856,4.56075124820823,7.40826397102235,5.98450760961529
1606500,1,38.991,-79.176,4.2014671721659,4.90281753632711,3.17398544262496,5.93029926586805,4.5521423542465
1613050,1,39.898,-78.132,3.3411494418569,4.24551706229119,2.38698287501138,5.19968362913671,3.79333325207405
1632000,1,38.637,-78.853,3.00358041968426,3.72097568466636,1.98161992266014,4.74293618169048,3.36227805217531
1634500,1,39.081,-78.329,2.56809046147554,3.48252586361023,1.61578258474152,4.43483374034426,3.02530816254289
2011400,1,38.042,-79.881,4.4146135234796,5.20893941725577,3.42737985735126,6.19617308338412,4.81177647036769
2014000,1,37.729,-80.042,3.60765476847321,4.37123848657522,2.60440070124965,5.37449255379878,3.98944662752421
2015700,1,38.195,-79.57,3.78469806683192,4.38663821299389,2.72008943324884,5.45124684657697,4.08566813991291
2016000,1,37.792,-79.759,3.84718523185467,4.45303618208928,2.78604934809936,5.5141720658446,4.15011070697198
2018000,1,37.666,-79.911,3.44033188628083,4.07621853460835,2.39124952890167,5.12530089198751,3.75827521044459
2027000,1,37.715,-78.982,3.54788346871259,4.56260678673089,2.63896545087647,5.47152480456701,4.05524512772174
2028500,1,37.87,-78.823,3.00360544382851,3.93431188049675,2.06991900771696,4.86799831660829,3.46895866216263
2111180,1,36.071,-81.403,4.94751999971387,5.93710897636137,4.02064597504568,6.86398300102956,5.44231448803762
2111500,1,36.175,-81.169,3.48169310905591,4.50892875040613,2.56671258294084,5.4239092765212,3.99531092973102
2137727,1,35.686,-82.06,5.12503298646377,5.84176596140774,4.11156038994002,6.85523855793148,5.48339947393575
2140991,1,35.834,-81.712,5.00153257769597,6.10553905603159,4.12054873534286,6.98652289838469,5.55353581686378
2149000,1,35.423,-82.112,5.08238564364526,6.12024460440639,4.19396581706251,7.00866443098914,5.60131512402582
2152100,1,35.493,-81.682,4.18148128111556,5.29129649966758,3.294035531219,6.17874224956414,4.73638889039157
2178400,1,34.89,-83.53,7.15151894935363,8.47261450351483,6.32592667125134,9.29820678161712,7.81206672643423
2381600,1,34.57,-84.469,6.06754690297777,6.99211521521679,5.11852759768604,7.94113452050853,6.52983105909728
3010655,1,41.962,-78.198,4.71441543680942,5.34535187078315,3.66279870391898,6.39696860367359,5.02988365379629
3011800,1,41.766,-78.719,5.24265991299357,6.12439348850708,4.28206452889212,7.08498887260853,5.68352670075032
3026500,1,41.631,-78.577,4.81940808543791,5.70851942365142,3.86666481791922,6.66126269117011,5.26396375454467
3049000,1,40.716,-79.699,2.70853958665522,3.87534172540679,1.84299897318404,4.74088233887796,3.291940656031
3050000,1,38.809,-79.882,5.99200848652781,7.2491935168875,5.14986636432081,8.0913356390945,6.62060100170766
3066000,1,39.127,-79.468,5.92057184072509,6.88785205752521,4.99302698401094,7.81539691423936,6.40421194912515
3069500,1,39.123,-79.681,6.28270396828739,6.99409377893044,5.26108609697719,8.01571165024064,6.63839887360891
3070500,1,39.616,-79.705,4.57786815575014,5.52639407133323,3.63883521482062,6.46542701226276,5.05213111354169
3076600,1,39.656,-79.394,4.9117864101337,5.81660591364837,3.95660324259356,6.77178908118851,5.36419616189103
3159540,1,39.064,-81.882,2.65857689958664,4.61108155000369,1.98222949771778,5.28742895187255,3.63482922479517
3161000,1,36.393,-81.407,5.03534199206793,7.15425303949732,4.39441815834385,7.7951768732214,6.09479751578262
3164000,1,36.647,-80.979,3.76472478535238,4.84313358443061,2.86856971267132,5.73928865711167,4.3039291848915
3170000,1,37.038,-80.557,2.30326758335148,3.37898185707821,1.40832880848945,4.27392063194024,2.84112472021485
3173000,1,37.268,-80.71,3.24803501459851,3.94315983847712,2.21991869625731,4.97127615681832,3.59559742653782
3180500,1,38.544,-79.833,5.74789534679797,6.54771615312657,4.75659418933474,7.5390173105898,6.14780574996227
3182500,1,38.186,-80.131,5.0068280606684,5.69385024512213,3.97921757136054,6.72146073442999,5.35033915289526
3186500,1,38.379,-80.484,6.94523116036459,7.8249132129036,5.98282463554154,8.78731973772665,7.3850721866341
3187500,1,38.295,-80.526,7.28508090752753,8.25686024158258,6.35240491139282,9.18953623771729,7.77097057455506
3213700,1,37.673,-82.28,4.17654963613059,5.10970763207279,3.23041640233196,6.05584086587142,4.64312863410169
3237280,1,38.644,-83.216,4.23598981505135,5.24807888793517,3.31927313526915,6.16479556771737,4.74203435149326
3280700,1,37.165,-83.308,4.89046417748846,5.62698964708229,3.87718909906375,6.640264725507,5.25872691228538
3281100,1,37.152,-83.76,5.06920844525579,5.89114254339902,4.08618187618824,6.87416911246657,5.48017549432741
3281500,1,37.48,-83.675,5.31325134173188,6.24565435606258,4.36705283867386,7.1918528591206,5.77945284889723
